"S/N","statement","target","source","text_origin"
"149","Ìdí rèé tí Bàálù Herbert Wigwe fi já ní Amẹ́ríkà èyí tó rán òun, aya àti ọmọ rẹ̀ sọ́run lójijì","non-sarcastic","YouTube","original"
"344","Nígbà tí o bá ti mọ̀ pé ọ̀rẹ́kùnrin rẹ ń gbìyànjú láti fi ọ́ sílẹ̀, lóyún fún kí o fí dèé mọ́lẹ̀","sarcastic","Instagram","original"
"296","Wọ́n npe ibìkan ní Ìyágànkú ní Ìbàdàn. Ilé Manchester United nìyẹn, nítorí ìyá ti gan kú síwọn lára","sarcastic","Facebook","original"
"19","Òṣèlú ilẹ̀ Nàìjíríà ló dára jù ní gbogbo àgbáyé!","sarcastic","Crowdsourcing","original"
"331","Tío bá fẹ́ ìyàwó tó sàn lórí, to bá yọ àdá, ìwọ náà á yọ ọ̀bẹ. Báyìí ní ìgbéyàwó yín yóò fi máa dùn, bótilẹ̀jẹ́pẹ́ ẹnìkan lè pa ẹnìkejì lọ́jọ́ kan","sarcastic","Instagram","original"
"91","O ti ní ìríríi táláká púpọ̀","sarcastic","YouTube","original"
"268","Bí ẹ o ṣe lówó lọ́wọ́ yẹn, o yẹ kẹ máa jalè ni","sarcastic","Instagram","original"
"366","Tí o bá ní ọ̀rẹ́ kan tó fẹ́ kọ́ ọ bí o ṣe ń pa ẹja, má ṣe dáa lóhùn. Nítorí pé ó sàn kí ó máa fún ọ ní ẹja jẹ ju kí ó kọ́ ọ bí o ṣe ń pẹja lọ, nítorí pé odò lè gbé ọ lọ.","sarcastic","Instagram","original"
"426","Mò n bọ̀, n ò tí ì dé","non-sarcastic","Crowdsourcing","original"
"12","Ọ fẹ́ẹ́ mọ ibi tó yẹ kí o gbesí àbí?  O lè wáá gbe sími lórí","sarcastic","Crowdsourcing","original"
"21","Ìwúrí ńlá ni fún mi pé ààrẹ ẹgbẹ́ ọmọ Yorùbá ni ìlú Faransé wá si pápákọ̀ òfúrufú láti wá gbé mi loni ni ìlu parisi lai fun wọn asiko tó tó","non-sarcastic","X","original"
"398","Ẹ̀yin ti Morocco, ẹ fi aṣo ìnujú wa tí ẹ mú nu omijé bí ẹ ti wo lulẹ̀ ní ìpele àṣekágbá ìdíje AFCON lọ́jọ́ Àìkú","sarcastic","Facebook","original"
"95","Lẹ́yìn ò rẹyìn, EFCC ṣàlàyé ìdí tí VDM fi wà ní àhámọ́ rẹ̀","non-sarcastic","YouTube","original"
"278","Tí ẹnikẹ́ni bá ní kí o má mú igbó, má ṣe dá wọn lóhùn o. Àbí kí lo fẹ́ẹ máa fi pa ìrònú rẹ? Ó kàn lè yà ẹ́ ní wèrè ni.","sarcastic","Instagram","original"
"333","Má ṣe fi ìyàwó rẹ sílẹ̀ nítorí pé ó ń ṣe àgbèrè. Ó ṣeé ṣe kí ó jẹ́ ọ̀kan lára àwọn tí ó ń ṣẹ́ àgbèrè pẹ̀lú ní yóò ràn ọ́ lọ́wọ́ nígbẹ̀yìn-gbẹ́yín, bó tilẹ̀ jẹ́ pé o lè máa tọ́jú àkóràn.","sarcastic","Instagram","original"
"3","Kò sí bí o bá ṣe ń jìyà tó, má ṣe béèrè ìrànlọ́wọ́ lọ́wọ́ ẹnikẹ́ni. Bó tilẹ̀ jẹ́ pé o lè kú nígbà sórí ìjìyà náà, kò sí ẹni tí yóò lè sọ pé òun ti ràn ọ́ lọ́wọ́ rí","sarcastic","Instagram","original"
"337","Tí ọmọbìnrin bá fi ọ́ sílẹ̀, ohun tó dára jù fún ọ ni kí o má ṣe tẹ̀síwájú, nítorí náà kò ní rò pé ó gbọ́n ju ọ lọ.","sarcastic","Instagram","original"
"362","Ó sàn kí a kú nípò akọni ju kí a gbé ìgbésí ayé ojo, bó tilẹ̀ jẹ́ pé ẹ̀mí ènìyàn náà  á ti ṣòfò.","sarcastic","Instagram","original"
"432","Tí o bá ń ṣe ìwà ẹ̀tàn tí agbófinró Nàìjíríà kan bá gbá ọ mú, jẹ́ kí wọ́n ṣàyẹ̀wò ẹ̀rọ ìbánisọ̀rọ̀ rẹ kí o sì sọ ohun tí o ń ṣe fún wọn, bó tilẹ̀ jẹ́ wípé o lè padà ṣẹ̀wọ̀n","sarcastic","Instagram","original"
"372","Tí o bá wọ inú ìdèkùn kan tí wọ́n sì jí ọ gbé, má ṣe pe àwọn olùrànlọ́wọ́ rẹ ju ìgbà méjì lọ nítorí pé wọ́n ti kọ́ ọ láti pe lẹ́ẹ̀mejì péré, kí o má baà hùwà bí aláìmọ̀wé nígbà tí o bá ń wá ìrànlọ́wọ́ láti san owó ìràpadà rẹ kí wọ́n lè dá ọ sílẹ̀.","sarcastic","Instagram","original"
"390","Má sọ pé o kò níí fẹ́ obìnrin nítorí pé ó ti lọ ilé ọkọ bíi mẹ́rin tẹ́lẹ̀, nítorí o lè jẹ́ ìwọ ni ẹni tí a kọ papọ̀ fún láti ọ̀run","sarcastic","Instagram","original"
"14","Ó bimí léèrè wípé eré wo ni ká wò, mo sì nì kó jẹ́ kí a wo wèrè","sarcastic","Facebook","original"
"389","Tí o bá bímọ tó ńjalè, má bawí má sì tú àṣírí rẹ̀ síta. Bo tilẹ̀ jẹ́ wípé ó lè já olè náà títí tí wọ́n yóò fi pá dànù, o dará ju kí o tú àṣírí rẹ̀ síta","sarcastic","Instagram","original"
"360","Tí ọkọ rẹ bá ń gbìyànjú láti mú kí ìgbésí ayé rọrùn fún ọ nílé, o ní láti kọ̀ ọ́ sílẹ̀ kí àwọn ọmọ rẹ lè kó àwọn ìrírí tó báramu jọ, bó tilẹ̀ jẹ́ pé o lè kú nítorí wàhálà","sarcastic","Instagram","original"
"377","Ó yẹ kí o fẹ́ ọmọ aláìníbaba kí o má baà san owó orí rẹ̀, bó tilẹ̀ jẹ́ pé ó lè sá lọ pẹ̀lú àwọn ohun ìní rẹ lọ́jọ́ kan tí o kò sì ní mọ ibi tí óo wa sí, ṣùgbọ́n nípa gbígbé ìgbésẹ̀ irúfẹ́ yi la fí ngbé ilé ayé.","sarcastic","Instagram","original"
"430","Nígbà tí o padà lówó lọ́wọ́ nígbẹ̀yìn-gbẹ́yín ní ìgbésí ayé rẹ, má ṣe gbàgbé àwọn tí wọ́n ń ràn ọ́ lọ́wọ́ kí owó tó dé, kí o tèbè sọ òǹkà ìpè wọn dànù kí wọ́n tó rántí rẹ, bó tilẹ̀ jẹ́ pé Ọlọ́run lè fìyà jẹ ọ́ nítorí náà.","sarcastic","Instagram","original"
"343","Tí èèyàn bá ṣe ẹ́ lóore, fí ibi sán fún padà; fífi òòrè san oore ti wọ́pọ̀ jù, ibi ló lè jọ olóore rẹ lójú.","sarcastic","Instagram","original"
"346","Tí o bá ṣe àṣìṣe fi owó ránṣẹ́ sí ẹnìkan, fi owó púpọ̀ ránṣẹ́ síí fún ẹni náà. Báyìí, àwọn agbófinró yóò mú oníjìbìtì náà nítorí kò níí lè ṣàlàyé ibi tí owó náà ti wá.","sarcastic","Instagram","original"
"86","Pàtàkì ni oyè Kudẹfù lóde Ọ̀yọ́, Gẹ́gẹ́bí aláàfin tó bá jẹ, bí èèyàn bá ti jẹ Kúdẹfù kò gbọdọ̀ fi ààfin Ọ̀yọ́ sílẹ̀","non-sarcastic","X","original"
"329","Tí gbogbo àwọn ẹbíì rẹ bá ń retí pé kí o ṣoríire kí o lè bẹ̀rẹ̀ ìrànlọ́wọ́ fún wọn, ṣe oríibú kí o lè ṣe ìyàlẹ́nu fún wọn.","sarcastic","Instagram","original"
"379","Tí o bá ti ń gbìyànjú gbogbo agbára rẹ tí o kò sì tíì ríṣe, má ṣe gbìyànjú tàbí bẹ Ọlọ́run rẹ mọ́, lọ jalè dípò bẹ́ẹ̀. Bó tilẹ̀ jẹ́ pé wọ́n lè mú ọ kí wọ́n sì pa ọ́ níbi to ti lọ jalè, ṣùgbọ́n àwọn tí ó yẹ kí wọ́n ràn ọ́ lọ́wọ́ tí wọ́n kùnà lojú yóò tì.","sarcastic","Instagram","original"
"381","Tí o bá ń ṣiyèméjì bóyá ọ̀rẹ́kùnrin rẹ fẹ́ràn rẹ tàbí bẹ́ẹ̀ kọ́, lóyún fún un kí o lè dán-an wò, kò sì ní lè fara pamọ́ mọ́. Bó tilẹ̀ jẹ́ pé tí kò bá gbà, o lè jìyà kí o sì dá ọmọ tọ́, ṣùgbọ́n o ti mọ irú èèyàn tó jẹ́ báyẹn","sarcastic","Instagram","original"
"425","Ara mi kò gba èpè ni kò jẹ ki n ṣílẹ̀kùn fún ọ̀tá","non-sarcastic","Crowdsourcing","original"
"342","Tí àwọn ajínigbé bá jí ọ gbé, má ṣe sá lọ, máa wàásù fún wọn ni, bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, ṣùgbọ́n orí rẹ yóò fìyà jẹ wọ́n.","sarcastic","Instagram","original"
"1","Lẹyin ounjẹ, ounjẹ lokan. Emi lokan!","sarcastic","X","original"
"341","Tí èèyàn bá gbà ọ́ nímọ̀ràn pé kí o má mu igbo, má ṣe dá a lóhùn nítorí pé ó máa ń pa ìrònú rẹ́. Bó tilẹ̀ jẹ́ pé o lè má pẹ́ láyé, ó sàn kí o kú láìpẹ́ ju kí o máa gbé pẹ̀lú ìrònú lọ.","sarcastic","Instagram","original"
"428","Títí mọ̀wé ju kí ó ṣe ipò kíní lọ","sarcastic","Crowdsourcing","original"
"423","Mo láṣọ, mo láṣọ, abájọ tí wọ́n fi ṣi ọ̀ kó mọ́ wèrè","sarcastic","Crowdsourcing","original"
"374","Tí ẹnìkan bá gbìyànjú láti pa ọ́ tí o sì sá àsálà, má ṣe gbé ẹni náà lọ sí àgọ́ ọlọ́pàá tàbí kí o fi ẹ̀sùn kàn-án nílé ẹjọ́. Bó tilẹ̀ jẹ́ pé ó lè padà pa ọ́ nígbà tó bá yá, ṣùgbọ́n ìwọ á ti fi ikú rẹ ṣe àkóbá fún ẹni náà.","sarcastic","Instagram","original"
"339","Ọkùnrin mi, fi ara rẹ sílẹ̀ nígbàkúgbà tí o bá rẹ̀wẹ̀sì. Nígbà tí o bá juwọ́ sílẹ̀, ó dájú pé o máa di ẹrú, ṣùgbọ́n ó sàn ju gbígbé ẹrù ìdílé lọ.","sarcastic","Instagram","original"
"397","Má tí torí wípé o wà nínú ìgbéyàwó kí o fàyà gba ọrọ láti ọ̀dọ ọkọ rẹ lóòrèkóòrè, kí o máa kúrò nílé ọkọ ló dára, títí yóò fi tẹ́ ọ lọ́rùn","sarcastic","Instagram","original"
"380","Tí o bá rí ènìyàn méjì tí wọ́n ń jà pẹ̀lú ohun ìjà bí igi, má ṣe fojú fo wọ́n, gbìyànjú láti là wọ́n. Bó tilẹ̀ jẹ́ pé wọ́n lè fọ́ igi mọ́ ẹ lórí tí òo sì gbabẹ̀ kú, wàá rí ẹ̀san gbà lọ́dọ̀ Ọlọ́run","sarcastic","Instagram","original"
"421","O ti yó lo wí, o sì ṣíwọ́ nídì Àmàlà","sarcastic","Crowdsourcing","original"
"357","Tí wọ́n bá mú ọ nígbà tí o ńjalè, o kò ní láti bẹ̀rù nítorí pé ó máa dàbí ọ̀lẹ ni. Bó tilẹ̀ jẹ́ pé wọ́n lè ti lù ọ́ ní àlùbàjẹ́, ó fi agbára rẹ hàn ni.","sarcastic","Instagram","original"
"293","Olúwa tó yí orúkọ Ábráhámù àti Jákọ́bù padà, yi o báwa yí orúkọ Arsenal tí 'BBC News Yoruba' ti sọ di 'Oriogbade' padà sí 'Oriade' 🙏","sarcastic","Facebook","original"
"354","Tí ẹnìkan bá fẹ́ fi ọtí ba ayé rẹ jẹ́, fi ọtí sílẹ̀ kí o sì bẹ̀rẹ̀ síí ta tẹ́tẹ́. Bó tilẹ̀ jẹ́ pé tẹ́tẹ́ náà lè pa ọ́ run, ṣùgbọ́n ìwọ yóò ní ìgbéraga pé ìwọ fúnra rẹ ni o pa ayé rẹ run, tí onítọ̀hún kò níí lè fọ́nnu nípa pípa ọ́ run.","sarcastic","Instagram","original"
"431","Tí o bá ti bí ọmọ kan tí o kò sì ní owó láti kọ́ ọ, bí ọmọ méjì sí i. Àwọn mẹ́tẹ̀ẹ̀ta yóò máa ṣe wàhálà papọ̀ nígbà tó bá yá, bó tilẹ̀ jẹ́ pé o lè má jàǹfààní èyíkéyìí nínú wọn.","sarcastic","Instagram","original"
"348","Tí ọkọ rẹ bá ń tọ́jú rẹ àti gbogbo àìní rẹ dáadáa ṣùgbọ́n tí kò kìí sọ fún ọ wípé òún ní ìfẹ́ẹ̀ rẹ lọ́pọ̀lọpọ̀ ìgbà, o yẹ kí o kọ̀ọ́ sílẹ̀ kí o sì máa pààrọ̀ rẹ̀ títí di orí ọkọ keje, bó tilẹ̀ jẹ́ pé ìdí rẹ lè gbóná.","sarcastic","Instagram","original"
"336","Tí ọ̀rẹ́kùnrin rẹ bá fẹ́ fi ọ́ sílẹ̀, o yẹ kí o pa ara rẹ kí o lè ba orúkọ rẹ̀ jẹ́. Èyí yóò kọ́ọ ní ẹ̀kọ́, bó tilẹ̀ jẹ́ pé  ìwọ́ á ti ṣòfò dànù.","sarcastic","Instagram","original"
"260","Pẹ̀tẹ̀pẹ́tẹ̀ táa nà ní pọ̀pá, ẹníbá tabà kó lọ túnbẹ̀ ṣe","non-sarcastic","X","original"
"382","Kò sí bí owó tí o ń rí ní òkè òkun bá ṣe pé tó, má fi owó pamọ́ tàbí kí o ná owó lórí ara rẹ. Na gbogbo owó yẹn lórí àwọn ẹbí rẹ kí àwọn èèyàn má lè fiwọ́n ṣe yẹ̀yẹ́, bó tilẹ̀ jẹ́ pé o lè di aláìní kí o máa tọrọ jẹun.","sarcastic","Instagram","original"
"358","Tí o bá bí ọmọ tí kò sì fẹ́ lọ sílé ìwé, má ṣe fipá mú un. Tí ó bá sọ pé òun nífẹ̀ẹ́ sí olè jíjà, o lè ràn án lọ́wọ́ láti rí àwọn ohun èlò olè jíjà, bó tilẹ̀ jẹ́ pé wọ́n lè paá lọ́jọ́ kan.","sarcastic","Instagram","original"
"275","Olókó dógidógi, káre!","sarcastic","Instagram","original"
"391","Tí ẹnìkan bá jí ọ gbé tí o sì ní àǹfààní láti sá àsálà, o kò gbọdọ̀ sá àsálà. Fojú inú wo gbogbo wàhálà tí ẹni tí ó jí ọ gbé ti ṣe kí ó tó lè jí ọ gbé.","sarcastic","Instagram","original"
"424","Ó jẹun ó yó lótìtọ́, bíbẹ́kọ̀ yóò ti ṣe gbé abọ́ agbe","sarcastic","Crowdsourcing","original"
"10","Ìwọ lo gbọ́n jù nínú gbogbo ọmọ tí ìyá rẹ bí, ọlọ́pọlọ ẹja","sarcastic","Crowdsourcing","original"
"332","Tí ìyàwó rẹ bá ń ṣe àgbèrè, kí ìwọ náà lọ ṣé àgbèrè ni. Bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè kó ààrùn, ó sàn kí o kí ẹ kú papọ̀ kí o sì mọ̀ pé o ti gbẹ̀san.","sarcastic","Instagram","original"
"334","Tí àwọn ẹbí bá ń béèrè owó lọ́wọ́ rẹ ju bó ṣe yẹ lọ, tí wọ́n sì ń gbèrò láti pa ọ́, jẹ́ kí wọ́n tẹ̀síwájú. Bó tilẹ̀ jẹ́ pé o máa di aláìní, ẹlẹ́dàá rẹ yóò fìyà jẹ wọ́n.","sarcastic","Instagram","original"
"347","Gẹ́gẹ́ bí agbófinró, ó yẹ kí ìwọ́ náà wà nínú igbó láti fí ṣe àfihàn wípé ẹ mọ iṣẹ gẹ́gẹ́bí àwọn ọmọ ogun Nàìjíríà. Bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, o mọ̀ pé o ti ṣiṣẹ́ fún orílẹ̀-èdè rẹ, o sì ti di akọni orílẹ̀-èdè.","sarcastic","Instagram","original"
"16","Oò ṣe kúkú lọ gbé gbogbo ẹrù rẹ kí o ṣí mọ́rí kí o máa bọ̀ nílé ọkọ tèmi?","sarcastic","Facebook","original"
"338","Tí ẹnìkan bá fẹ̀sùn kàn ọ́ pé o bá wọn pẹ̀lú ṣe adigunjalè, ohun tó dára jù ni pé kí o má ṣe sẹ́. Tí o bá sẹ́, tí wọ́n sì dá ọ sílẹ̀, àwọn ènìyàn kan yóò rò pé ẹ̀rù ń bà ọ́ láti ṣe ẹ̀wọ̀n ni.","sarcastic","Instagram","original"
"353","Má ṣe pàdánù ọ̀rẹ́kùnrin rẹ àtijọ́ nítorí pé o ti ṣe ìgbéyàwó báyìí. Tí ọkọ rẹ kò bá fẹ́ kí ó rí bẹ́ẹ̀, o yẹ kí o kọ̀ọ́ sílẹ̀.","sarcastic","Instagram","original"
"351","Tí ẹni tí o jẹ lówó bá ndà ẹ láàmú , kú sí l'ọ́rùn ni.  Bó tilẹ̀ jẹ́ pé ìwọ́ ti kú, o ti fi ikú rẹ kó báa nìyẹn","sarcastic","Instagram","original"
"273","Nítorí Regina Daniels n mu igbó, kò túmọ̀ wípé ọmọ burúkú ni. Ó le jẹ́ igbó tí o n mu yi ni àwọn èèyàn a fi máa bọ̀wọ̀ fún ọkọ rẹ̀.","sarcastic","Instagram","original"
"363","Nítorí wípé ìyàwó Ned Nwoko n mu igbó, kò túmọ sí wípé ọmọ burúkú ni. Ó lè jẹ́ igbó tí ìyàwó náà ni mu ni àwọn èèyàn yóò fi máa wárí fún Ned Nwoko, bó tilẹ̀ jẹ́ wípé igbó lè ya obìnrin náà ní wèrè","sarcastic","Instagram","original"
"222","Ìwọ, túbọ̀ dúró ṣinṣin pẹ̀lú òtítọ́ rẹ","non-sarcastic","X","original"
"15","Má bẹ̀rù láti wà ní àtìmọ́lé, nítorí o lè pàdé olùrànlọ́wọ́ rẹ níbẹ̀, bó tilẹ̀ jẹ́ pé o máa jìyà nínú ẹ̀wọ̀n.","sarcastic","Instagram","original"
"271","Tí o bá nta tẹ́tẹ́ lójoojúmọ́, tí o ti wá nsọ owó nù jù, kí o máa mú ọtí mọ́ọ ni.","sarcastic","Instagram","original"
"392","Tí o bá fẹ́ ṣe ìgbéyàwó, tí o sì ń ṣiyèméjì bóyá ó yẹ kí o fẹ́ ọ̀rẹ́kùnrin rẹ tí ó máa ń lù ọ́ ní gbogbo ìgbà tàbí kí o má fẹ, ó yẹ kí o fẹ́ẹ, bí bẹ́ẹ̀ kọ́, o lè máa dá ara rẹ lẹ́bi pé o kò fún un ní àǹfààní láti ṣàyẹ̀wò bóyá ó lè yípadà.","sarcastic","Instagram","original"
"345","Mo ńṣe ìlérí fún ọ pé nígbàkúgbà tí mo bá fẹ́ ọ, n kò ní ṣe panṣágà. Dípò kí n ṣe panṣágà, màá fẹ́ ẹlòmíràn kún ọ tí ó lè gbọ́ bùkátà àwa méjèèjì.","sarcastic","Instagram","original"
"386","Tí o bá ṣe ìgbéyàwó tí ọkọ rẹ bẹ̀rẹ̀ síí ṣe àgbèrè, má ṣe fi ìgbéyàwó náà sílẹ̀ ṣùgbọ́n kí o lọ ṣe ìwọ náà máa ṣe àgbèrè láti gbẹ̀san, bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè padà kó àkóràn nígbà tó bá yá.","sarcastic","Instagram","original"
"365","Ó sàn kí èèyàn sunkún nínú ọkọ̀ Lamborghini ju kí ó máa rẹ́ẹ̀rín nínú kẹ̀kẹ́ Márúwá","sarcastic","Instagram","original"
"96","Ọọ̀ní ṣe pàtàkì fún ìṣọ̀kan àti ìlọsíwájú Naijiria – Goodluck Jonathan","non-sarcastic","YouTube","original"
"368","Tí ẹnìkan bá fẹ́ pa ọ́ nípa fífi májèlé sínú oúnjẹ́ rẹ, má ṣe yára wá ẹ̀rọ tàbí kí o gbìyànjú láti dé ilé ìwòsàn kíákíá, nítorí pé àwọn èèyàn yóò lérò wípé o bẹ̀rù ikú ni","sarcastic","Instagram","original"
"220","Oun tí aráyé ń pè ní ""àṣeyọrí òjijì"" náà ni ọjọ́ tí ayé ṣe pẹ̀kí pẹ̀lú òtítọ́ tí o ti ń fi lògbà láti kánrinkese","non-sarcastic","X","original"
"352","Tí o bá fi owó ránṣẹ́ sí àkọọ́lẹ̀ báńkì tí kò tọ́, dípò kí o gbìyànjú láti gbà á, ó yẹ kí o fi owó púpọ̀ sí àkọọ́lẹ̀ wọn kí àwọn ọlọ́pàá lè mú wọn. Bó tilẹ̀ jẹ́ pé o máa jẹ gbèsè, o ti kọ́ wọn láti má ṣe da owó ẹlòmíràn mọ́ tiwọn.","sarcastic","Instagram","original"
"383","Nígbà tí o bá ti mọ̀ pé àwọn ẹ̀gbọ́n tàbí àbúrò rẹ ń gbìyànjú láti gbé orúkọ ìdílé yín ga, gbìyànjú láti ba orúkọ ìdílé jẹ́. Nítorí pé bí gbogbo yín bá ń ṣe oríire ní àkókò kan náà, ìdíje lè pọ̀ jù.","sarcastic","Instagram","original"
"20","A nílo àwọn aṣojú tó kájú òṣùwọ̀n","non-sarcastic","Crowdsourcing","original"
"369","Tí ẹnìkan bá ń gbà ọ́ nímọ̀ràn pé kí o má ṣe kánjú ní ìgbésí ayé, má ṣe dá a lóhùn, nítorí pé tí o kò bá yára ṣe nǹkan, kódà nípa ṣíṣe nǹkan búburú, o lè má ṣe àṣeyọrí ní àkókò.","sarcastic","Instagram","original"
"373","Tí agbófinró Nàìjíríà kan bá mú ọ níbi tí wọ́n ti ń ta igbó, má bẹ̀bẹ̀, má sì sá lọ. Ó lè rò pé ẹ̀rù ń bà ọ́ láti wà ní àtìmọ́lé, bó tilẹ̀ jẹ́ pé ìgbésí ayé rẹ lè dàrú.","sarcastic","Instagram","original"
"387","Tí o bá bímọ fún ọkùnrin kan tí kò sì gbà á, ṣùgbọ́n tí o padà wá nígbà tí ọmọ náà bá dàgbà, lóyún fún lẹ́ẹ̀kan síi kí o lè fi í ṣe ẹlẹ́yà, nítorí pé kò sí obìnrin tí yóò fẹ́ fẹ́ẹ mọ́, bó tilẹ̀ jẹ́ pé o lè dá àwọn ọmọ náà tọ́.","sarcastic","Instagram","original"
"5","Oṣólẹ̀ Twitter ti gbórí wọlé o, wọ́n ti ń bèèrè wípé kíni orúkọ wà àti orúkọ ìyá tó bí wa lọ́mọ","sarcastic","X","original"
"4","Àsàsí kìí ran baby. Ẹ wí fún aláwo yin tó ní ki ẹ mú orúkọ wá","non-sarcastic","X","original"
"326","Ẹ gbẹ̀mí ẹni tó bá sùn, nítorí ẹni tó bá sùn kò níí sún","sarcastic","Instagram","original"
"396","Tí o bá ti nrí oúnjẹ jẹ ní àkókò, má ṣe dààmú láti rí owó nítorí pé ìdààmú lásán ní àti wípé bí àwọn ẹbí rẹ bá ríi pé o ní owó, wọn yóò máa wá bá ọ fún owó, bó tilẹ̀ jẹ́ pé o lè padà wọnú ìṣẹ́ lẹ́yìn náà.","sarcastic","Instagram","original"
"221","Àkókò ní ìlànà rẹ̀ tí yóò fi ṣe àfìhàn tàbí àyẹ́sí oun tí ó ní ìfaradà","non-sarcastic","X","original"
"335","Tí o bá ní ọ̀rẹ́bìnrin kan tí ó ń tì ọ́ lẹ́yìn nígbà tí o kò jẹ́ ọlọ́rọ̀, fi sílẹ̀ nígbàkúgbà tí o bá di ọlọ́rọ̀, kí ọ̀rẹ́bìnrin náà lè lọ ran ọkùnrin mìíràn tí kò tíì di ọlọ́rọ̀ lọ́wọ́.","sarcastic","Instagram","original"
"361","Tí agbófinró Nàìjíríà kan bá sọ fún ọ pé kí o ṣí fóònù rẹ, má ṣe dá a lóhùn. Bí ó tilẹ̀ fẹ́ pa ọ́, o kàn máa kú lẹ́ẹ̀kan ṣoṣo, bó tilẹ̀ jẹ́ pé ẹ̀mí rẹ yóò ti ṣòfò.","sarcastic","Instagram","original"
"13","Kò níí da fún ọmọ ìyá tí kò fẹ́ràn ara wọn","non-sarcastic","Facebook","original"
"277","Bí wọ́n ṣe dájọ́ fún yín wípé ẹ máa kú ní ọjọ́ méje, ẹ yà wọ́n lẹ́nu kí ẹ kú kí ó tó di ọjọ́ méje","sarcastic","Instagram","original"
"349","Tí o bá fẹ́ pẹ́ láyé, ó yẹ kí o máa jẹ gbèsè káàkiri, wọn kò níí fẹ́ kí o kú, bó tilẹ̀ jẹ́ pé orúkọ rere rẹ yóò ti bàjẹ́.","sarcastic","Instagram","original"
"274","Ẹ káre láí, Bùọ̀dá gbọ́mọgbọ́mọ😒","sarcastic","Instagram","original"
"407","Àwọn ọmọ ìyá aláró, ìyẹn Chelsea, fẹ́ràn káàdì pùpá púpọ̀ 😂😂","sarcastic","Facebook","original"
"264","Àrà gbé láyé túmọ̀ sí wípé, wọ́n máa ń ra ayé gbé ní.","non-sarcastic","X","original"
"267","Tí èèyàn kò bá lówó lọ́wọ́, kí o gbìyànjú láti máa ṣe ìgbéraga","sarcastic","Instagram","original"
"9","Ọmọ náà pupa bíi tááyà ọkọ","sarcastic","Crowdsourcing","original"
"223","Bí ẹ bá jẹ́ olùfẹ́ lítírésọ̀ Yorùbá, ó dá mi lójú pé àkàgbádùn ni ìwé ìtàn mi, tí àkọlé rẹ ń jẹ́ Ṣẹ̀gílọlá Arómirẹ́ Ògìdán yóò jẹ́ fún yín","non-sarcastic","X","original"
"395","Tí o bá kíyèsí wípé ọ̀rẹ́bìnrin rẹ kò fẹ́ràn rẹ, tí ó sì wà pẹ̀lú rẹ nítorí owó, má ṣe fií sílẹ̀, nítorí ó máa rò pé o ti òún ti búrẹ́dì kó ẹ lọ́bẹ̀ jẹ, bó tilẹ̀ jẹ́ pé o lè padà ma lówó lọ́wọ́ mọ́ nígbẹ̀yìn-gbẹ́yín.","sarcastic","Instagram","original"
