S/N,statement,target,source,text_origin
74,"Ṣé lóòtọ́ọ́ ní pé gbèsè ló lé Segun Olanrewaju, abẹ̀sẹ́kùbíòjò tó kú lójú ìjà, padà sídìí ẹ̀ṣẹ́ kíkàn? Àwọn mọ̀lẹ́bí rẹ̀ sọ̀rọ̀",non-sarcastic,BBC News,original
75,"Abẹ̀ṣẹ́kú-bí-òjò, George Foreman, jáde láyé",non-sarcastic,BBC News,original
76,"Bàbá onílé yìnbọn mọ́ ọmọdé tó gbá bọ́ọ̀lù sínú ọgbà ilé rẹ̀, ọ̀rọ̀ bẹ́yìn yọ",non-sarcastic,BBC News,original
77,'Ìfẹ́ tí mo ní sí ọ̀bọ ló jẹ́ kí n bẹ̀rẹ̀ eré ìdárayá lílo ọwọ́ àti ẹsẹ̀ fi sáré',non-sarcastic,BBC News,original
78,"Karim Adeyemi, agbábọ́ọ̀lù ọmọ Naijiria tó ń ran àwọn ọ̀dọ́ lọ́wọ́",non-sarcastic,BBC News,original
79,"Mọ̀ nípa ọdún eégún ìlú Ekan-Meje, níbi tó ti jẹ́ èèwọ̀ láti gbé àjẹkù oúnjẹ́ lọ sílé látibi ọdún",non-sarcastic,BBC News,original
80,Eniola Badmus àti Laide Bakare fìjà pẹ́ẹta níbi ìfilọ́lẹ̀ fíìmù Eniola Ajao,non-sarcastic,BBC News,original
81,"Wo iléẹ̀kọ́ àwọn olóyún tí wọn ti ń gba àmì ẹ̀yẹ fún ijó jíjó, oge ṣíṣe àti ìmọ́tótó",non-sarcastic,BBC News,original
82,Agbébọn jí pásítọ̀ gbé lásìkò ìwàásù nínú ṣọ́ọ̀ṣì,non-sarcastic,BBC News,original
83,Mi ò kábàmọ́ọ̀ pé ìyàwó mi tó kú nigbà tó fẹ́ bímọ kò forúkọ sílẹ̀ nílé ìwòsàn - Folajimi,non-sarcastic,BBC News,original
84,Àní ká fi ọ̀rọ̀ ọ̀hún mu tábà ní gbẹ́rẹ́fu. Ọ̀rọ̀ burúkú tòun tẹ̀rín,non-sarcastic,BBC News,original
85,Ẹ tún fẹ́ gbé wa mọ́ra àbí? Ẹ ti pawó sápò yín tán àbí bẹ́ẹ̀ kọ́?,non-sarcastic,BBC News,original
86,"Pàtàkì ni oyè Kudẹfù lóde Ọ̀yọ́, Gẹ́gẹ́bí aláàfin tó bá jẹ, bí èèyàn bá ti jẹ Kúdẹfù kò gbọdọ̀ fi ààfin Ọ̀yọ́ sílẹ̀",non-sarcastic,X,original
87,Ọ̀pọ̀lọpọ̀ fóònù olówó iyebíye tuntun ló jóná nínú ìjàmbá iná ọ̀hún,non-sarcastic,BBC News,original
88,"Nlẹ o, abéwúrẹ́ sọ̀rọ̀, wọ́n ti kọ̀ǹgọ́ bọ ìlù",non-sarcastic,BBC News,original
89,"Ìgbà gbá mi dànù, mo wá ńhùwà bí àkọ́ọ̀gbà",sarcastic,YouTube,original
90,Ata gígún ni ilé ayé,sarcastic,YouTube,original
91,O ti ní ìríríi táláká púpọ̀,sarcastic,YouTube,original
92,"Níbi tí mo ti ń ṣiṣẹ́, bàbá, mo wọ́ ike owó kan ni jàre",sarcastic,YouTube,original
93,Kílọdé tí o ní éńjìnì Benz tí o wá ńfi kórópe wàá?,sarcastic,YouTube,original
94,"Tí wọ́n bá ti nfi ọkọ ayọ́kẹ́lẹ́ gbe ènìyàn, yóò ma yọ́ kẹ́lẹ́kẹ́lẹ́ nọ́ọ̀ni",sarcastic,YouTube,original
95,"Lẹ́yìn ò rẹyìn, EFCC ṣàlàyé ìdí tí VDM fi wà ní àhámọ́ rẹ̀",non-sarcastic,YouTube,original
96,Ọọ̀ní ṣe pàtàkì fún ìṣọ̀kan àti ìlọsíwájú Naijiria – Goodluck Jonathan,non-sarcastic,YouTube,original
97,"Ìdí rèé tí Ọlọ́pàá àti Amotekun ṣe kọjú ìjà síra wọn l'Ondo, tí ọ̀pọ̀ èèyàn sì farapa",non-sarcastic,BBC News,original
98,"Kí ló ń fa àṣìṣe lórí ètò ẹ̀yáwó akẹ́kọ̀ọ́, táwọn akẹ́kọ̀ọ́jáde fi ń rí ẹ̀yáwó náà gba?",non-sarcastic,BBC News,original
99,"""Amotekun gbé àbúrò mi lọ́jọ́ Àìkú, pa á lọ́jọ́ Ajé, ọ̀gá wọn ń bẹ̀ mi, kí ń gba N1m láti fi sin ín""",non-sarcastic,BBC News,original
100,Ìyàwó ilé méjì dèrò ẹ̀wọ̀n fún fífi PoS ta owó náírà tó tó N3.8m àti N1.6m,non-sarcastic,BBC News,original
101,Ọlọ́pàá ṣàwárí obìnrin tó sọnù láti ọdún 1962,non-sarcastic,BBC News,original
102,Àlàyé lórí ìdí tí Ààrẹ Togo fi lè wà nípò títí láí,non-sarcastic,BBC News,original
103,Ìjọ Àgùdà korò ojú sí Trump lórí àwòrán ara à rẹ̀ bíi Póòpù tó gbé síta,non-sarcastic,BBC News,original
104,Wọ́n sọ fún ìyá mi láti jù mí nù ní kékeré nítorí mo ní àìsàn 'Sickle Cell' àmọ́ mo tí pé ọdún 65 báyìí',non-sarcastic,BBC News,original
105,Wo àwọn nǹkan tó yẹ láti ṣe tí o bá fẹ́ máa lo ẹ̀rọ a-mú-oúnjẹ-gbóná,non-sarcastic,BBC News,original
106,Ọlọ́pàá bá òkú ọmọ Nàìjíríà tí wọ́n gún pa sínú ilé ní ó ku ọ̀sẹ̀ méjì tó máa parí ìkẹ́kọ̀ọ́ nọ́ọ̀sì ní US,non-sarcastic,BBC News,original
107,"Èmi ni Ọba Fuji, kí Kwam 1 má pe ara rẹ̀ bẹ́ẹ̀ mọ́ – Kollington Ayinla",non-sarcastic,BBC News,original
108,Ǹjẹ́ òfin fàyè gba Gómìnà láti fẹgbẹ́ òṣèlú rẹ̀ sílẹ̀ darapọ̀ mọ́ òmíràn? Ohun tí a mọ̀ rèé,non-sarcastic,BBC News,original
109,Ìjọba Saudi Arabia kéde ìjìyà tuntun fún àwọn tó ń wọ ilẹ̀ náà lọ́nà àìtọ́,non-sarcastic,BBC News,original
110,Mo bù sẹ́kún nígbà tí mo rí fọ́nrán àwọn èèyàn kan tó ń fi mí ṣe yẹ̀yẹ́ nítorí mi ò lọ́kọ - Funke Akindele,non-sarcastic,BBC News,original
111,Darandaran tó fi mààlúù jẹko l'Ondo gba ìdájọ́ ẹ̀wọ̀n ọdún mẹ́wàá,non-sarcastic,BBC News,original
112,Mọ̀ nípa àtunṣe márùn-un ti INEC fẹ́ẹ́ ṣe sí òfin ìdìbò ilẹ̀ Naijiria,non-sarcastic,BBC News,original
113,A ò gbà pé ìdájọ́ òdodo ti wáyé lórí ikú Bamise tí awakọ̀ BRT pa - Ẹbí Bamise Ayanwola fárígá lẹ́yìn ìdájọ́,non-sarcastic,BBC News,original
114,A ò bá ohun ìgbéṣùmọ̀mí lára Nnamdi Kanu -Ẹlẹ́rìí tí DSS pè,non-sarcastic,BBC News,original
115,"Ìná tún sọ ní Ibadan, ọ̀pọ̀ dúkìá tún báa lọ",non-sarcastic,BBC News,original
116,A ṣe àṣìṣe fífi ẹ̀sùn jìbìtì kan NELFUND- ICPC,non-sarcastic,BBC News,original
117,E-Money kìlọ̀ lẹ́yìn tó bọ́ lọ́wọ́ EFCC - Ẹ yé tàbùkù owó náírà mọ́!,non-sarcastic,BBC News,original
118,NIMC ṣe àfikún iye owó ìforúkọsílẹ̀ àti àtúnṣe NIN,non-sarcastic,BBC News,original
119,Àwọn òṣìṣẹ́ bínú sí ìjọba Naijiria láyàájọ́ ọjọ́ òṣìṣẹ́,non-sarcastic,BBC News,original
120,"Kúdẹ́fù, ẹrú tó di ẹmẹ̀wà Aláàfin tí kò sì gbọ́dọ̀ fi ààfin Ọ̀yọ́ sílẹ̀",non-sarcastic,BBC News,original
121,Wo bí o ṣe lè mọ iléeṣẹ́ tó fi orúkọ sílẹ̀ pẹ̀lu CAC,non-sarcastic,BBC News,original
122,"Owu Waterfalls, ibùdó afẹ́ 'tó léwu ní lílọ̀ láì mú ẹ̀ṣọ́ aláàbò dáni'",non-sarcastic,BBC News,original
123,"Ta làwọn ọmọ ilẹ̀ Africa mẹ́ta tó ti jẹ Póòpù ìjọ Àgùdà, kí lò dé tí aláwọ̀ dúdú kankan kò dépo náà mọ́ lẹ́yìn wọn?",non-sarcastic,BBC News,original
124,"Bí àwọn èèyàn bá rí mi, ọmọ gómìnà Adeleke ni wọ́n ń pè mí nítorí pé a jọra gidigidi'",non-sarcastic,BBC News,original
125,Ọjọ́ mẹ́rin ni ọkọ mi fi sá kúrò nílé lẹ́yìn tó gbọ́ pé ìbẹta ni mo bí',non-sarcastic,BBC News,original
126,"Gbèsè ni mo fi tọ́ àwọn ìbejì tó gba First Class, tayọ jù lọ ní UI'",non-sarcastic,BBC News,original
127,"Ebi kọ́ ló mú kí àwọn ọmọ mi máa bá mi ṣiṣẹ́ fọga, kí ọjọ́ ọ̀la wọn le dára ni'",non-sarcastic,BBC News,original
128,Mò n fi èdè Ìjẹ̀bú kọ́ àwọn akẹ́kọ̀ọ́ mi ní ìṣirò nítorí mo fẹ́ kó yé wọn dáàdáà',non-sarcastic,BBC News,original
129,"Lẹ́yìn ọdún mẹta, erò ọkọ̀ ojú irin pàdé ẹni to jì i gbe ní mọ́ṣáláṣí",non-sarcastic,BBC News,original
130,Ṣé lóòótọ́ ni CBEX ti bẹ̀rẹ̀ iṣẹ́ padà ní Naijiria?,non-sarcastic,BBC News,original
131,"Ọ̀rọ̀ Soun Ogbomoso àtí Ìmáàmù Àgbà tún ṣẹ́yọ, Iléẹjọ́ so Ìmáàmù lọ́wọ́kọ́ lórí ìfinjoyè, Soun ní ìkọjá-àyè ni",non-sarcastic,BBC News,original
132,Wọ́n rí òkú ọlọ́pàá mẹta tó di àwátì nínú odò lẹ́yìn ọjọ́ mẹ́fà,non-sarcastic,BBC News,original
133,"Wo bí ayẹyẹ ìgbadé Owa Obokun tuntun, Adesuyi Haastrup, yóò ṣe wáyé n'Ilesa",non-sarcastic,BBC News,original
134,"Nńkan ò ṣe mi o, mo wà láàyè -King Sunny Ade",non-sarcastic,BBC News,original
135,Wọn ti ko ọmọ Naijiria 203 tó há sí Libya padà wálé,non-sarcastic,BBC News,original
136,Ìfẹ́ tí mo ní sí ọ̀bọ ló jẹ́ kí n bẹ̀rẹ̀ eré ìdárayá lílo ọwọ́ àti ẹsẹ̀ fi sáré',non-sarcastic,BBC News,original
137,Ọ́wọ ọlọ́wọ́ níí gbé òkú dé itẹ́,non-sarcastic,BBC News,original
138,"Mohbad gba àmì ẹ̀yẹ Headies, wo bí àmì ẹ̀yẹ náà ṣe lọ lọ́dún yìí",non-sarcastic,BBC News,original
139,"Àwọn ohun tó yẹ kí o mọ̀ nípa Robert Prevost Leo XIV, Póòpù tuntun fún ìjọ Kátólíìkì",non-sarcastic,BBC News,original
140,Ọ̀ná là ní ẹnu ibodè Seme àti Badagry bí Tinubu ṣe fagilé ìgbégidínà lójú ọ̀nà Nàíjíríà sí ilẹ̀ Benin,non-sarcastic,BBC News,original
141,"Ariwo sọ bí ọ̀dọ́bìnrin kan ṣe parọ́ pé wọ́n jí òun gbé lásìkò tó wà pẹ̀lú ọ̀rẹ́kùnrin rẹ̀, ọlọ́pàà sọ̀rọ̀",non-sarcastic,BBC News,original
142,"""Kí àlááfíà wà pẹ̀lú yín"" Pope tuntun,  Leo XIV bá àgbáyé sọ̀rọ̀ fún ìgbà àkọ́kọ́",non-sarcastic,BBC News,original
143,Kí ni ìdí tí India àti Pakistan fi ń jà sí agbègbè Kashmir?,non-sarcastic,BBC News,original
144,"Joe Biden korò ojú pé Donald Trump ń sọ̀rọ̀ ṣàkàṣàkà, kò sọ̀rọ̀ bíi Ààrẹ Amẹ́ríkà",non-sarcastic,BBC News,original
145,"""Lẹ́yìn tí Ajínigbé gba N14m owó ìtúsílẹ̀, àpò ìrẹsì, adìẹ méjìlá tí wọn dín gbẹ, ohun mímu 24, káàdì ìpè N10,000, wọ́n tún ń bèèrè N70m míì""",non-sarcastic,BBC News,original
146,Ètò yíyan Póòpù tuntun ń tẹ̀síwájú bí èéfí dúdú ṣe jáde láti Sistine Chapel,non-sarcastic,BBC News,original
147,"Àlàyé rèé lórí ìdí tí aáwọ̀ ẹgbẹ́ òṣèlú Labour ṣe ń le koko sí, bí igun Abure àti Usman se dojú ogun kọ ara wọn",non-sarcastic,BBC News,original
148,Fídíò rèé nípa bí wọn ṣe máa ń yan Póòpù tuntun,non-sarcastic,BBC News,original
149,"Ìdí rèé tí Bàálù Herbert Wigwe fi já ní Amẹ́ríkà èyí tó rán òun, aya àti ọmọ rẹ̀ sọ́run lójijì",non-sarcastic,YouTube,original
150,"Ṣé lóòótọ́ ni Nnamdi Kanu pàṣẹ kí wọn máà pa àwọn ọlọ́pàá, tún lérí láti kọlu ìpínlẹ̀ Eko?",non-sarcastic,BBC News,original
151,Àlàyé rèé lórí ìdí tí Póòpù fi máa ń wọ bàtà pupa àti ìdáhùn àwọn ìbéèrè míràn tó rú ọ lójú,non-sarcastic,BBC News,original
152,Ìdí rèé tí mo ṣe lọ sọ́dọ̀ àjọ EFCC - Iyabo Ojo,non-sarcastic,BBC News,original
153,"Kí ló ń jẹ́ ""Shadow Government"", tí Pat Utomi gbé kalẹ̀ láti tako ìjọba Tinubu?",non-sarcastic,BBC News,original
154,"Bí ìgbẹ́jọ́ Alfa Abdulrahman tí wọn fẹ̀sùn ìfipábánilòpọ̀ àti ikú Afsot Yetunde kàn ní Ilorin ṣe lọ lónìí rèé, bí bàbá olóògbé ṣe bú sẹ́kún",non-sarcastic,BBC News,original
155,"Boko Haram ti gboró, bàálù Drone ló ń lò láti kọlu aráàlú ní Borno - Aṣojú-ṣòfin",non-sarcastic,BBC News,original
156,UK gbé ìlànà tuntun kalẹ̀ lórí 'Visa' gbígbà ní Nàìjíríà àti orílẹ̀èdè méjì míì,non-sarcastic,BBC News,original
157,"Àlàyé rèé lórí ìdí tí ọ̀pọ̀ akẹ́kọ̀ọ́ ṣe fìdí rẹmi nínú ìdánwò UTME, bí JAMB ṣe kéde èsì ìdánwò náà",non-sarcastic,BBC News,original
158,Wo ìgbeyàwó ọ̀pọ̀ èèyàn tó wáyé ní ṣọ́ọ̀ṣì kan níbi tí ọkùnrin ti ń fẹ́ ju ìyàwó kan lọ,non-sarcastic,BBC News,original
159,Kà nípa àìsàn tó lè pa ọmọ ìkókó,non-sarcastic,BBC News,original
160,"185,000 ọmọ ogun Russia ló ti bá ogun lọ ní Ukraine",non-sarcastic,BBC News,original
161,"Nínú ọba 82, ìjọba kéde ojúlówó ọba 16 péré ní ilẹ̀ Benin, ariwo sọ",non-sarcastic,BBC News,original
162,"""Orin Kèǹgbè jẹ́ orin àwa Fúlàní, àwọn Yorùbá kò mọ iyì rẹ̀""",non-sarcastic,BBC News,original
163,'Wọ́n sọ fún ìyá mi láti jù mí nù ní kékeré nítorí mo ní àìsàn 'Sickle Cell' àmọ́ mo tí pé ọdún 65 báyìí',non-sarcastic,BBC News,original
164,"'Bí àwọn èèyàn bá rí mi, ọmọ gómìnà Adeleke ni wọ́n ń pè mí nítorí pé a jọra gidigidi'",non-sarcastic,BBC News,original
165,'Ọjọ́ mẹ́rin ni ọkọ mi fi sá kúrò nílé lẹ́yìn tó gbọ́ pé ìbẹta ni mo bí',non-sarcastic,BBC News,original
166,"Baálẹ̀ Yemi Ogunyemi, Baálẹ̀ Oluyole àti àgbà ọ̀jẹ̀ agbóhùnsáfẹ́fẹ́, jáde láyé",non-sarcastic,BBC News,original
167,Russia fẹ̀sùn kan Ukraine pé ó ju àdó olóró sí Moscow ṣáájú ayẹyẹ ogun àgbáyé kejì,non-sarcastic,BBC News,original
